,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
0,"""688010""",福光股份,38.85,-2.58,-1.03,26678,103780831.0,6.72,40.3,37.62,39.5,39.88,1.15,1.66,620.18,3.67
1,"""301510""",固高科技,35.42,-2.59,-0.94,44898,160750953.0,4.18,36.7,35.18,35.99,36.36,0.79,1.6,363.62,10.45
2,"""603966""",法兰泰克,9.02,-2.59,-0.24,123531,111202800.0,4.86,9.23,8.78,9.15,9.26,0.77,3.44,19.79,2.11
3,"""300608""",思特奇,11.65,-2.59,-0.31,104299,122703544.16,3.76,12.02,11.57,11.8,11.96,0.93,3.63,-18.69,2.76
4,"""300691""",联合光电,19.48,-2.6,-0.52,67764,132387831.4,4.7,20.0,19.06,19.75,20.0,0.95,3.22,109.91,3.2
5,"""301171""",易点天下,25.81,-2.6,-0.69,122046,318515821.7,3.28,26.59,25.72,26.2,26.5,0.78,3.95,46.85,3.47
6,"""000541""",佛山照明,6.73,-2.6,-0.18,636508,430041664.83,3.33,6.88,6.65,6.78,6.91,0.55,5.38,30.89,1.62
7,"""300655""",晶瑞电材,8.22,-2.61,-0.22,261497,216553305.12,4.27,8.49,8.13,8.32,8.44,0.61,2.62,9822.41,3.37
8,"""000573""",粤宏远Ａ,4.48,-2.61,-0.12,493068,222918306.15,6.52,4.71,4.41,4.53,4.6,0.8,7.79,-55.33,1.79
9,"""002227""",奥 特 迅,12.28,-2.62,-0.33,90574,112065083.0,4.04,12.66,12.15,12.41,12.61,0.86,3.66,-97.48,2.94
10,"""300025""",华星创业,7.07,-2.62,-0.19,120030,85617216.75,2.62,7.23,7.04,7.13,7.26,0.63,2.78,-66.66,5.64
11,"""603083""",剑桥科技,36.82,-2.62,-0.99,68866,255323065.0,4.02,37.94,36.42,37.33,37.81,1.5,2.6,48.78,4.39
12,"""301382""",蜂助手,39.03,-2.62,-1.05,72551,284977433.8,3.67,40.12,38.65,39.48,40.08,0.88,5.31,70.38,5.02
13,"""300211""",亿通科技,10.01,-2.63,-0.27,105273,105844637.73,3.79,10.27,9.88,10.12,10.28,0.71,3.53,-76.84,6.22
14,"""002730""",电光科技,15.55,-2.63,-0.42,83025,130016723.1,3.19,15.96,15.45,15.73,15.97,0.81,2.4,62.84,3.56
15,"""603722""",阿科力,41.45,-2.63,-1.12,8465,35142908.0,4.2,42.57,40.78,42.57,42.57,0.78,0.96,-438.48,4.2
16,"""300435""",中泰股份,13.32,-2.63,-0.36,64276,86069816.0,4.53,13.72,13.1,13.58,13.68,1.08,1.74,20.34,1.57
17,"""301177""",迪阿股份,28.08,-2.64,-0.76,15858,45031835.1,4.26,29.18,27.95,28.65,28.84,0.92,3.96,417.33,1.79
18,"""605018""",长华集团,11.08,-2.64,-0.3,42306,47117889.0,3.87,11.42,10.98,11.25,11.38,0.75,0.9,43.52,1.93
19,"""688246""",嘉和美康,32.5,-2.64,-0.88,12791,41976333.0,5.33,33.88,32.1,33.15,33.38,0.63,1.27,-29.82,2.67
